comentario	usuario	ciudad	puntaje	fecha_viaje	link
Buena compañía aérea, con servicio agradable y opciones de ocio adecuadas a tantas horas de vuelo. 5 horas hacia el este y 7 hacia el oeste.	CarlosUrquia	Agüimes, España	4	diciembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r643769839-Emirates-World.html#REVIEWS
Tomamos el vuelo desde N.Y. Con destino a Dubai. Un súper avión...el personal súper Atento, la comida muy buena. El entretenimiento a bordo excelente, unos súper televisores. Muy cómodo el viaje para la cantidad de horas que estuvimos en el avión. Altamente recomendable ésta aéreolinea.	CarmenS3659	Barcelona, España	5	septiembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r643670975-Emirates-World.html#REVIEWS
Aerolineas muy y cómodas con wifi, menus y personal muy agradable. Aviones muy modernos con dos plantas.	Ladybag16	Barcelona, España	4	agosto de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r643549254-Emirates-World.html#REVIEWS
Cada vez que vuelo con ellos todo va rodado, siempre aporta ese extra que no encuentras con otras compañías, puntualidad y funcionalidad de todos los amenities.	flymetosaturn	Provincia de Barcelona, España	4	noviembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r643494757-Emirates-World.html#REVIEWS
El vuelo salió a su hora, el boarding perfecto, el trato muy bueno, lo único negativo, que si se acaba uno de los menús que ofrecen, que es lo más probable, Pues tienes que comerte el que hay, para mi, no es un problema pero puede ser molesto para otras personas.	b0letusa	Marbella, España	5	diciembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r643369296-Emirates-World.html#REVIEWS
El vuelo fue perfecto, tripulación muy atentos, comida adecuada para estos casos y funcionaba todo (música, video, etc..). Al llegar al aeropuerto de Dubai coincidimos varios vuelos de llegada a la vez y realmente para pasar el control de pasaportes fue un caos.	FJ R	Alcalá de Henares, España	4	abril de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r643354293-Emirates-World.html#REVIEWS
Me habían hablado tanto de esta compañía que cuando hicimos este viaje aunque la vuelta era más larga que hacerlo directo decidimos tomarlo par probar la compañía, y la verdad fue una gran decepción quisas yo esperé a más y no fue así el servicio nada excepcional la comida tampoco y pues los aviones bien pero la distribución de la cabina solo la ida fue buena el regreso no tanto en fin mi experiencia no fue lo que esperaba y con lo emocionada que estaba por todos los comentarios que siempre había escuchado de esta compañía aérea.	Yanaris G	Madrid, España	3	diciembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r643176610-Emirates-World.html#REVIEWS
Todo el proceso, desde que te pones a buscar billetes, hasta que aterrizas te lo hacenfácil, organización perfecta. Los aviones son fantásticos, con asientos cómodos y comida buena. Es una compañía muy recomendable.	Alfonso A	Madrid, España	5	noviembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r642763733-Emirates-World.html#REVIEWS
Un Airbus 380 precioso avión y fantástico vuelo aunque la ventanilla esta lejos del asiento y es complicado apoyarse....!!! El servicio y el personal genial	miguel s	Formentera, España	5	noviembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r641904046-Emirates-World.html#REVIEWS
Primer viaje con la compañía aérea Emirates, utilizamos dos aviones, desde Madrid a Dubai (trayecto bastante satisfactorio) y posteriormente embarcamos en uno de los aviones más grandes de la flota para poner destino a Malé, capital de Maldivas, ambos vuelos en clase económica. Entre los dos vuelos fueron un total de unas 15-18 horas con escala incluida en Dubai de 1h30'. Sin duda recomendaría esta aerolínea para aquellos viajeros, profesionales... que busquen un trato y comodidad a la altura. Para mí superó las expectativas, un vuelo bastante confortable, comida y baños (para mi muy importante) con todo lo necesario, trato excelente... En definitiva, volvería a volar con Emirates.	dansu92	Barcelona, España	5	septiembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r641876519-Emirates-World.html#REVIEWS
Seleccioné Emirates por su imagen y por la ruta directa de Ft Lauderdale a Dubai ,para evitar escalas en otro continente.Muy organizado el check in,abordaje y la atención buena en general.El avión muy bien equipado,ambientación de luces agradable,baños bien dotados y mantenidos.La comida muy condimentada como es natural en asia.La bebida muy aceptable aún en clase económica.Lo mas sobresaliente es el entretenimiento abordo,muy amplio y variado como se espera en viajes de 14 y 16 horas. El vuelo de regreso hacia USA tiene normas especiales de seguridad por lo cual las revisiones y preguntas son mas intensivas. En general es una aerolínea que no dudaría en utilizar nuevamente. Relación precio calidad adecuada.	jaimega298	Colombia	4	diciembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r641659438-Emirates-World.html#REVIEWS
Siempre que he hecho un vuelo con Emirates te dan al principio una carta con los servicios de comida que va a haber durante el vuelo y en la comida te ponen dos platos a elegir. Pues cuando ha llegadoel momento de pedir NUNCA han tenido disponible el plato que he pedido. Será casualidad, supongo. Pero si no pueden garantizar el plato sería mejor que no crearan falsas perspectivas.	Alfonso_Ofi	Provincia de Cádiz, España	3	diciembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r641605678-Emirates-World.html#REVIEWS
Muy buena experiencia para Mi primer viaje a Asia. La atención es muy buena, sirven 3 comidas y un snack. Los asientos de económica bastante cómodos y con mas espacio que otros. Muy puntual. Volvería a elegirla para viajar lejos. La recomiendo	carom2020	Madrid, España	4	diciembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r641434560-Emirates-World.html#REVIEWS
Compañía llena de detalles, con estilo y elegancia. Aeropuerto lujoso. Dos plantas y 10 asientos por fila. SORPRENDENTE. Además, tanto el despegue como el aterrizaje fue estupendo, no lo perci bes	begoniaalvarez	Madrid, España	5	diciembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r641306716-Emirates-World.html#REVIEWS
Gran avión, con asientos espaciosos, pantalla individual equipada con monitor, cascos, manta y almohada. Te dan dos comidas durante el vuelo y las azafatas son muy profesionales. Volveré a viajar con ellos sin lugar a dudas.	Helenahf25	Madrid, España	5	noviembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r641244806-Emirates-World.html#REVIEWS
Emirates ofrece un servicio excepcional Desde el momento que llegas al aeropuerto empiezas a disfrutar en la sala Vip Luego el vuelo es inmejorable. El asiento, la comida, el entretenimiento a bordo es especial Lo recomiendo sin lugar a dudas.	ANGELG740	Sant Esteve Sesrovires, España	5	diciembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r641184409-Emirates-World.html#REVIEWS
Viajamos por emiratos en noviembre y diciembre ida y vuelta de buenos aires a Bangkok , nos habían comentado que era la mejor empresa y que después de volar con ellos no íbamos a querer volar con ningún otro El servicio es bueno , muy bueno y es altamente recomendable ,pero escribo justamente para que quede claro que son buenos pero no es que no hay nada como ellos Los asientos sin igual de incómodos que todas las compañías en clase económica , el personal de abordo como siempre muy bien pero siempre hay algunos bastante antipáticos y que no te contestan muy bien como en todas las compañías , incluso muchas veces cuando había problemas con la ubicación del equipaje no intervenía para ayudar Con respecto al servicio de comidas muy flojo el tema de bebidas , las servían mucho más tarde que la comida a veces uno ya había terminado y no estaba , un par de veces no tenían gaseosa para servir y en el último tramo no tenían hielo ,sirvieron toda la bebida totalmente caliente En resumen es una muy buena compañía pero no es lo mejor de lo mejor , todavía podrían mejorar	Anawildfeuer	Cordoba	4	noviembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r640987675-Emirates-World.html#REVIEWS
Segunda vez que viajo en esta Línea aérea la primera vez fue de Milano a Dubai y siempre es puntual, buena atención y servicio, la comida buena y asientos mucho más cómodos que muchas de las otras compañías aereas. Destinos en gran parte del mundo. Los precios se pueden conseguir ofertas, pero es claro que la calidad de paga. Sin duda la recomiendo si tienen la oportunidad de viajar en esta línea aérea non lo duden ni un momento tener esa experiencia	jennypincellaramia	Volta Mantovana, Italia	5	mayo de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r640832819-Emirates-World.html#REVIEWS
Muy buen servicio, puntualidad, más espacio entre asientos. Comida no escapa a las generales de los vuelos. Hizo escala técnica en Rio y permanecimos en el avión . Con los empleados de aeropuerto que limpiaron y pasaron la aspiradora entre nosotros. Esto deben mejorarlo. De ida paso desapercibido. Al regreso cuando ya llevaba 15 hs aprox de vuelo, la paciencia no acompañó muy bien a ninguno de los que permanecimos en el avión	01mmm60	Buenos Aires, Argentina	4	noviembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r640820626-Emirates-World.html#REVIEWS
Es una aerolínea muy ordenada, tanto el avión, como el servicio es excelente. De igual manera la comida y la comodidad resaltan por ser buenas.	PixyXV	Bogotá, Colombia	4	enero de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r640736654-Emirates-World.html#REVIEWS
Viajar por Emirates es una experiencia muy buena, es super cómodo, hay bastante espacio, el avión de dos niveles y los acabados internos son agradables, la comida rica y la tripulación amable. Lo mejor en mi caso es que la mayoría pudimos ocupar de a 3 sillas para cada uno, así qeu el descanso fue mucho mejor aún.	PixyXV	Bogotá, Colombia	5	enero de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r640735064-Emirates-World.html#REVIEWS
Buen vuelo, puntual, con almohaditas, manta, auriculares, videos de entretenimiento, etc. El personal muy amable	mcsb666	Zaragoza, España	4	diciembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r640703996-Emirates-World.html#REVIEWS
Realmente los vuelos de ida y regreso fueron muy buenos. La atencion del personal muy correcta y los alimentos servidos tambien muy buenos. Esto vale par todos los trayectos que conlleva ese destino. sin duda una aerolinea para utilizar cuando los destinos lo prevean.	Liliana H	Buenos Aires, Argentina	5	noviembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r640578248-Emirates-World.html#REVIEWS
La atencion la comida los aviones y la tripulacion son excelentes. Si pudiera eliguria suempre eata conpañia.	SanValija	Mar del Plata, Argentina	5	marzo de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r640508198-Emirates-World.html#REVIEWS
Mi experiencia con Emirates siempre es buena, suelo volar en business y ocasionalmente en turista, en cualquier caso siempre el servicio es impecable, los aviones son nuevos, la oferta audiovisual es muy extensa y la tripulación muy amable.	Omiragaya	Dubái, Emiratos Árabes Unidos	5	noviembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r640507799-Emirates-World.html#REVIEWS
Sin duda la mejor de todas las compañías! Más allá de volar en Primera o no, los servicios, así como la atención, se destacan sobre las demás líneas aéreas de la competencia. Volvería siempre a volar por Emirates cuando tenga la posibilidad.	TinauTJ	Burdeos, Francia	5	noviembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r640463904-Emirates-World.html#REVIEWS
Vuelo largo, con escala en Dubai, pero que se hace corto por la gran calidad del servicio a bordo. Los sistemas de entretenimiento excelentes y la comida muy buena.	danielmK2050GM	San Isidro, Argentina	5	agosto de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r640462236-Emirates-World.html#REVIEWS
Siempre que voy a Rio, viajó por Emirates, quizás cueste un poco más de dinero el pasaje, pero lo vale. La atención es excelente, la comida es variada y muy buena. Además, siempre salen a horario. Espero que amplíen los recorridos para poder viajar a otros destinos con esa compañía.	Patricia P	San Isidro, Argentina	5	noviembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r640434863-Emirates-World.html#REVIEWS
16 horas directas en el Airbus A380 desde los Angeles hasta Dubai ,excelente !!! realmente mi destino final fue hasta Male - Maldivas , pero aproveche para conocer dubai y algunas ciudades mas de los Emiratos Arabes.	FELIX ROLANDO D	Lima, Perú	5	noviembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r640427677-Emirates-World.html#REVIEWS
Iba a Japón y me recomendaron viajar con Emirates vía Dubái. La experiencia resultó muy positiva. Los aspectos técnicos del viaje, perfectos y la atención, detalle, comida, etc., del máximo nivel. Él viña resulta cómodo y entretenido Gracias a la gama de películas, juegos y música q tienes a tu dispos. Creo no obstante q la imagen que presentan del país, moderno e igualitario, no se corresponde con la realidad.	Reyes B	Pamplona, España	5	octubre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r640425608-Emirates-World.html#REVIEWS
Viajamos en familia. 2 adultos y mi hija de 4 años. Excelente atención! Si bien la atención de Buenos Aires es bueno, la de regreso superó! Mi hija encantada con el obsequio, que le regalaron!	Cris β	Rosario, Argentina	5	julio de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r640419942-Emirates-World.html#REVIEWS
Viaje con Emirates con muchas expectativas y la decepcion fue grande, en el viaje de ida antes de la escala en rio de janeiro, nos dieron la cena que era bastante regular. Al llegar a la escala, donde bajan y suben pasajeros, la demora fue de cerca de dos horas, que incluia el ascenso y descenso y los que continuabamos viaje permaneciamos en el avion mientras lo limpiaban y faltaba pco para que nos pasaran la aspiradora por encima.A la hora de partir de Rio de Janeiro nos despiertan para darnos una empanada a la 1,30 de la madrugada, que supuestamente era para compensar la falta de la cena para los que embarcaron en rio de janeiro Fuimos a Dubai donde nos quedamos 3 dias, luego a Varsovia y regresamos a Dubai desde Estambul, para seguir viaje al dia siguiente a Buenos Aires. En los 4 vuelos jamas repitieron el servicio de bebidas ni en la cena ni en el almuerzo, 1 sola vez vimos escondida en el medio del carrito una botella de whisky, que solo fue servido a nuestro pedido. Los asientos estan apénas un poco mas separados que en las otras compañias. El trato en el aeropuerto de Dubai al regreso fue pesimo, ya que pese de haber llevado nuestro equipaje de mano con el mismo contenido y peso al salir de buenos aires, al tomar el vuelo en Dubai a Varsovia y de Estambul a Dubai, nadie objeto el peso del equipaje, lo que no ocurrio en la vuelta de Dubai, ya que pusieron una mujer de muy mal trato a pesar el equipaje de a bordo y objeto que la valija de mano y la notebook excedia el peso, le explique que en los otros 3 vuelos nadie objeto nada, y de pesimo tono me dijo que eso era Dubai y hacian lo que querian. Esta intransigencia me obligo a comprar otra valija, y al volver el embarque esa mujer no estaba mas y nadie contyrolaba nada. Un absurdo de una compania	emilio h	Rosario, Argentina	2	agosto de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r640406102-Emirates-World.html#REVIEWS
Tenía muchas ganas de volar con emirates porque todo el mundo me la había recomendado y no me defraudó. Íbamos en turista y había mucho espacio en los asientos. La comida estaba muy bien. Los baños amplios y limpios. El tratos de l@s azafat@s genial. Sin duda volveré a volar con ellos.	Manglose	Madrid, España	5	diciembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r640401750-Emirates-World.html#REVIEWS
Buenas tardes. Me gustaría compartir con ustedes mi horrorífica experiencia en su vuelo, lo cual, en más de 10 años eligiéndoles a ustedes como compañía para viajar, nunca había visto cosa parecida a lo que me hicieron sus empleados. Les cuento para su constancia y para que ojalá nunca más suceda esto a un viajero en mi situación.Quedaban unas 5 horas y media de viaje, yo ya había venido de un vuelo anterior con ustedes, PHUCKET-DUBAI, cuando me empecé a sentir realmente mal después de la comida. (No me puse mala por la comida, ya que venía mareada de atrás). Aún con las bandejas bajadas y con la comida en los asientos, quise ir al baño, pero me había tocado la ventanilla (ASIENTO 45K el 07 de septiembre de 2018) y había dos viajeros por delante de mí, que entre quitar la comida, subir las bandejas y levantarse, a mí, ya demasiado mareada, no me dio tiempo a llegar al baño y vomité en mi asiento, empecé a llorar del disgusto, también por los viajeros que venían al lado mío (uno de ellos mi pareja) y por la vergüenza que me dio y lo mal que me sentía. Acto seguido llamé al personal de vuelo y lo que hizo fue ir a por unos papeles, unos polvos que endurecen el vómito y unas mantas. Con los papeles me dijo que limpiase el avión, con los polvos que los echase encima del vómito y con las mantas que las pusiese también encima del vómito y me sentase encima.Esa fue la única atención que recibí, y unas preguntas para apuntarlas en su agenda de los síntomas que tenía para dar parte (supongo).En mi estado, el cual debo decir que vomité otras 8 veces más en el mismo vuelo (pero en el baño) ya que me tuve que sentar en las escaleras del baño por no sentarme en mi asiento vomitado, ya que no estaba en condiciones de limpiar el avión. Quiero transmitirles con esto mi disgusto ya que no me ofrecieron ni un agua, ni un apoyo, ni un asiento limpio, eso nunca me lo esperé de su compañía, la cual siempre elegí, pero nunca más me meteré en un avión suyo con ese personal que tienen, que no tienen corazón, ni una vez fueron a preguntar si necesitaba algo, un agua... sólo recuerdo a su personal trayéndome papeles y servilletas para limpiar el avión, y yo luego sentada durante 5 horas en las escaleras del baño, y cuando procedía que me tenía que sentar, tener que hacerlo encima del vómito con unas mantas.Deseo que nunca más le suceda esto a nadie de verdad.Al menos conmigo sólo han conseguido perder varios viajeros de mi familia y de mi pareja, pero otra persona podía haber llegado más lejos en mi situación.También les pido que elijan mejor a sus empleados, que tengan más valores y en fin, más humanidad y empatía. Dejan mucho que desear. Finalmente, para más inri, les escribo una reclamación y me contestan que es imposible que me ponga mala por la comida del avión, que perdone las molestias pero que no ha sido de su incumbencia. Les contesté que me habían entendido mal, que no me había puesto mala por la comida del avión, que quería decir que me empecé a sentir mal justo cuando dieron la comida. Ni una contestación más me dieron. UNA VERGUENZA.	LAURANUBE88	Buenos Aires, Argentina	1	septiembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r640381249-Emirates-World.html#REVIEWS
Excelente servicio de la compañia.Comodiad. El personal muy amable, todas las comidas estaban incluidas y muy ricas. Neceser de regalo.Variedad de peliculas .	Numennu	Buenos Aires, Argentina	5	octubre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r640369777-Emirates-World.html#REVIEWS
Excelente atencion, comodos asientos, mas de 400 peliculas de estreno para ver, realmente excelente.	mkatusic	chile	5	enero de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r640365239-Emirates-World.html#REVIEWS
X Puntualidad y cordialidad. A pesar de lo extenso del vuelo, con escala tecnica en Rio de Janeiro, resulta placentero. El asiento en economica resulta comodo. Peliculas en pantalla individual. Esmerada atencion. Comida por encima de la media. La aerolinea ofrece hotel propio y traslados, cuando la escala -em nuestro caso a Aman- se prolonga unas horas. Buena experiencia.	EAMartinez2013	Gualeguaychú, Entre Rios, Argentina	4	septiembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r640362020-Emirates-World.html#REVIEWS
Reconozco que volé muchas veces con distintas aerolíneas, muy buenas en su mayoría y otras no tanto, pero volar en Emirates es algo totalmente distinto. Es una sensación de comodidad y de atención como pocas veces se puede sentir. Los servicios que te ofrecen, aún volando en Economy, son magnificos, la comida es verdaderamente sabrosa, las butacas son amplias y cómodas, el entretenimiento de abordo es amplio y bastante completo, las personas que trabajan en el vuelo son sumamente atentas y serviciales, aunque el ingles es el idioma en el que se manejan, salvo que por ahí encuentres alguien que hable castellano ya que personas de todo el mundo trabajan en el servicio abordo de esta compañía. La verdad, si tienes la posibilidad económica para poder volar en esta aerolínea, hacelo porque no te vas a arrepentir. En lo personal volé desde Ezeiza hasta Singapur, para luego seguir a Bali en otra aerolinea low cost, mis escalas fueron Dubai, Sry Lanka, y finalmente Singapur, todo este trayecto fue con Emirates y el servicio era el mismo en todos los vuelos, aún cambiando de avión entre escala y escala.	Faku_Nolasco	San Salvador de Jujuy, Argentina	5	enero de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r640345652-Emirates-World.html#REVIEWS
Atencion ,vuelo,comida,lounge para pasajeros bussines.Desde la recogida a domicilio hasta la devolucion a casa todo impecable y de mucha calidad.24 horas de vuelo con una escala corta y se llega en buenas condiciones.Inmejorable.	PedroF4555	L'Ametlla de mar.	5	diciembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r640339100-Emirates-World.html#REVIEWS
he usado tres veces la aerolínea y ha sido una experiencia maravillosa. La primera vez cuando inauguraron la ruta BUE-Dubai y tuve que comprar un bolso para guardar los regalos que les hicieron a mis hijo!!! Extraordinaria atención, excelente comida, brillante la calidad de los productos.	normamontenegro2014	Miami, Florida	5	enero de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r640338414-Emirates-World.html#REVIEWS
CREO NO QUE NO HAY MEJOR COMPAÑIA QUE EMIRATE, aun en clase turistica, en la que viaje, comodidad en los asientos, atencion personalizada de las azafatas, bebidas y comidas en todo el vuelo a disposicion, asientos reclinables y super comodos	patricialarosarina	rosario	5	junio de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r640315047-Emirates-World.html#REVIEWS
